Observable,Value,ID,Time
Act. receptor conc. Amount 1,1.5202828311024914,320,5
Act. receptor conc. Amount 1,2.1491098536315945,321,10
Act. receptor conc. Amount 1,2.7282596097890757,322,15
Act. receptor conc. Amount 1,2.51089950181098,323,20
Act. receptor conc. Amount 1,2.9618728779330046,324,25
Act. receptor conc. Amount 1,0.4339764719789644,325,1
Act. receptor conc. Amount 1,1.560098757991049,326,5
Act. receptor conc. Amount 1,2.2432892270837663,327,10
Act. receptor conc. Amount 1,2.8671263673158496,328,15
Act. receptor conc. Amount 1,2.638303160731514,329,20
Act. receptor conc. Amount 1,2.3864568112341193,330,25
Act. receptor conc. Amount 1,0.4787046985184145,331,1
Act. receptor conc. Amount 1,1.6193454160385494,332,5
Act. receptor conc. Amount 1,2.237336887177371,333,10
Act. receptor conc. Amount 1,2.946282537392138,334,15
Act. receptor conc. Amount 1,2.7901510327415817,335,20
Act. receptor conc. Amount 1,2.8390950130871992,336,25
Act. receptor conc. Amount 1,0.41863802070823547,337,1
Act. receptor conc. Amount 1,1.7824400407846674,338,5
Act. receptor conc. Amount 1,2.2045219713572655,339,10
Act. receptor conc. Amount 1,2.592016015369876,340,15
Act. receptor conc. Amount 1,2.836863089017517,341,20
Act. receptor conc. Amount 1,2.6272937886462606,342,25
Act. receptor conc. Amount 1,0.4675114415966323,343,1
Act. receptor conc. Amount 1,1.5127353297808739,344,5
Act. receptor conc. Amount 1,2.526081558283991,345,10
Act. receptor conc. Amount 1,2.8267299381369937,346,15
Act. receptor conc. Amount 1,2.625083310472231,347,20
Act. receptor conc. Amount 1,2.9617523000455153,348,25
Act. receptor conc. Amount 1,0.427287641853973,349,1
Act. receptor conc. Amount 1,1.4665502336163914,350,5
Act. receptor conc. Amount 1,2.384129521046154,351,10
Act. receptor conc. Amount 1,2.5398868065544704,352,15
Act. receptor conc. Amount 1,2.6120454382430403,353,20
Act. receptor conc. Amount 1,2.9870453761535574,354,25
Act. receptor conc. Amount 1,0.44918339202237645,355,1
Act. receptor conc. Amount 1,1.6313669103459882,356,5
Act. receptor conc. Amount 1,2.4304412729578613,357,10
Act. receptor conc. Amount 1,2.4160360203062323,358,15
